index,Players,Year,Matches,Runs,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
0,Jos Buttler,2022,17,863,57.53,116,149.05,2,4,83,45
1,K L Rahul,2022,15,616,51.33,103*,135.38,3,4,45,30
2,Quinton De Kock,2022,15,508,36.29,140*,148.97,1,3,47,23
3,Hardik Pandya,2022,15,487,44.27,87*,131.26,4,4,49,12
4,Shubman Gill,2022,16,483,34.50,96,132.32,2,4,51,11
5,David Miller,2022,16,481,68.71,94*,142.72,9,2,32,23
6,Faf Du Plessis,2022,16,468,31.20,96,127.52,1,3,49,13
7,Shikhar Dhawan,2022,14,460,38.33,88*,122.66,2,3,47,12
8,Sanju Samson,2022,17,458,28.63,55,146.79,1,2,43,26
9,Deepak Hooda,2022,15,451,32.21,59,136.66,0,4,36,18
10,Liam Livingstone,2022,14,437,36.42,70,182.08,2,4,29,34
11,David Warner,2022,12,432,48.00,92*,150.52,3,5,52,15
12,Abhishek Sharma,2022,14,426,30.43,75,133.12,0,2,47,13
13,Ishan Kishan,2022,14,418,32.15,81*,120.11,1,3,45,11
14,Rahul Tripathi,2022,14,413,37.55,76,158.23,3,3,40,20
15,Shreyas Iyer,2022,14,401,30.85,85,134.56,1,3,41,11
16,Tilak Varma,2022,14,397,36.09,61,131.02,3,2,29,16
17,Aiden Markram,2022,14,381,47.63,68*,139.05,4,3,25,19
18,Devdutt Padikkal,2022,17,376,22.12,54,122.87,0,1,40,14
19,Ruturaj Gaikwad,2022,14,368,26.29,99,126.46,0,3,33,14
20,Nitish Rana,2022,14,361,27.77,57,143.82,1,2,29,22
21,Virat Kohli,2022,16,341,22.73,73,115.98,1,2,32,8
22,Rishabh Pant,2022,14,340,30.91,44,151.78,2,0,35,16
23,Andre Russell,2022,14,335,37.22,70*,174.47,3,1,18,32
24,Rajat Patidar,2022,8,333,55.50,112*,152.75,1,2,27,18
25,Dinesh Karthik,2022,16,330,55.00,66*,183.33,10,1,27,22
26,Wriddhiman Saha,2022,11,317,31.70,68,122.39,1,3,40,7
27,Shimron Hetmyer,2022,15,314,44.86,59*,153.92,8,1,21,21
28,Nicholas Pooran,2022,14,306,38.25,64*,144.33,5,2,16,21
29,Suryakumar Yadav,2022,8,303,43.29,68*,145.67,1,3,23,16
30,Glenn Maxwell,2022,13,301,27.36,55,169.10,2,1,31,15
31,Shivam Dube,2022,11,289,28.90,95*,156.21,1,2,22,16
32,Prithvi Shaw,2022,10,283,28.30,61,152.97,0,2,37,10
33,Ambati Rayudu,2022,13,274,24.91,78,122.32,0,1,25,15
34,Rohit Sharma,2022,14,268,19.14,48,120.17,0,0,28,13
35,Yashasvi Jaiswal,2022,10,258,25.80,68,132.98,0,2,28,10
36,Jonny Bairstow,2022,11,253,23.00,66,144.57,0,2,34,9
37,Devon Conway,2022,7,252,42.00,87,145.66,1,3,22,12
38,Mitchell Marsh,2022,8,251,31.38,89,132.80,0,2,19,14
39,Rovman Powell,2022,14,250,25.00,67*,149.70,2,1,10,22
40,Moeen Ali,2022,10,244,24.40,93,137.85,0,1,24,11
41,Jitesh Sharma,2022,12,234,29.25,44,163.63,2,0,22,12
42,MS Dhoni,2022,14,232,33.14,50*,123.40,6,1,21,10
43,Robin Uthappa,2022,12,230,20.91,88,134.50,0,2,19,14
44,Shahbaz Ahmed,2022,16,219,27.38,45,120.99,3,0,14,9
45,Rahul Tewatia,2022,16,217,31.00,43*,147.61,5,0,22,9
46,Kane Williamson,2022,13,216,19.64,57,93.50,2,1,16,8
47,Bhanuka Rajapaksa,2022,9,206,22.89,43,159.68,0,0,16,13
48,Mayank Agarwal,2022,13,196,16.33,52,122.50,0,1,23,6
49,Ravichandran Ashwin,2022,17,191,27.29,50,141.48,5,1,14,9
50,Tim David,2022,8,186,37.20,46,216.27,3,0,12,16
51,Riyan Parag,2022,17,183,16.64,56*,138.63,3,1,11,10
52,Krunal Pandya,2022,14,183,20.33,42,126.20,4,0,16,4
53,Axar Patel,2022,13,182,45.50,42*,151.66,6,0,12,10
54,Venkatesh Iyer,2022,12,182,16.55,50*,107.69,1,1,17,7
55,Rinku Singh,2022,7,174,34.80,42*,148.71,2,0,17,7
56,Sam Billings,2022,8,169,24.14,36,122.46,1,0,9,10
57,Dewald Brevis,2022,7,161,23.00,49,142.47,0,0,14,11
58,Ayush Badoni,2022,13,161,20.13,54,123.84,3,1,11,7
59,Lalit Yadav,2022,12,161,23.00,48*,110.27,1,0,11,7
60,Matthew Wade,2022,10,157,15.70,35,113.76,0,0,23,2
61,Marcus Stoinis,2022,11,156,19.50,38*,147.16,2,0,7,13
62,Sai Sudharsan,2022,5,145,36.25,65*,127.19,1,1,14,3
63,Kieron Pollard,2022,11,144,14.40,25,107.46,1,0,6,9
64,Ajinkya Rahane,2022,7,133,19.00,44,103.90,0,0,14,4
65,Anuj Rawat,2022,8,129,16.13,66,109.32,0,1,10,7
66,Shardul Thakur,2022,14,120,15.00,29*,137.93,2,0,7,7
67,Shahrukh Khan,2022,8,117,16.71,26,108.33,1,0,4,9
68,Ravindra Jadeja,2022,10,116,19.33,26*,118.36,4,0,6,5
69,Abhinav Manohar,2022,8,108,18.00,43,144.00,1,0,14,3
70,Washington Sundar,2022,9,101,14.43,40,146.37,0,0,9,3
71,Rashid Khan,2022,16,91,22.75,40,206.81,4,0,3,9
72,Sarfaraz Khan,2022,6,91,30.33,36*,135.82,2,0,9,2
73,Manish Pandey,2022,6,88,14.67,38,110.00,0,0,9,2
74,Mahipal Lomror,2022,7,86,17.20,42,150.87,0,0,7,4
75,Aaron Finch,2022,5,86,17.20,58,140.98,0,1,10,3
76,Rahul Chahar,2022,13,77,12.83,25*,113.23,2,0,7,4
77,Evin Lewis,2022,6,73,24.33,55*,130.35,2,1,8,3
78,Sunil Narine,2022,14,71,8.88,22,177.50,2,0,6,6
79,Shashank Singh,2022,10,69,17.25,25*,146.80,1,0,5,4
80,Suyash S Prabhudessai,2022,5,67,13.40,34,113.55,0,0,7,2
81,Pat Cummins,2022,5,63,15.75,56*,262.50,1,1,5,6
82,Jaydev Unadkat,2022,5,59,19.67,19*,159.45,2,0,4,3
83,Romario Shepherd,2022,3,58,29.00,26*,141.46,1,0,2,5
84,Jason Holder,2022,12,58,9.67,16,131.81,2,0,2,6
85,Umesh Yadav,2022,12,55,13.75,21,137.50,3,0,4,4
86,Odean Smith,2022,6,51,17.00,25*,115.90,3,0,1,5
87,Kagiso Rabada,2022,13,48,9.60,25,111.62,3,0,5,2
88,Kuldeep Yadav,2022,14,48,48.00,16*,92.30,6,0,3,2
89,Priyam Garg,2022,2,46,23.00,42,139.39,0,0,4,2
90,Ramandeep Singh,2022,5,45,22.50,14*,112.50,2,0,3,1
91,Dwaine Pretorius,2022,6,44,11.00,22,157.14,1,0,3,3
92,Dushmantha Chameera,2022,12,43,10.75,17,153.57,4,0,3,3
93,Harshal Patel,2022,15,43,8.60,11,110.25,3,0,4,2
94,Hrithik Shokeen,2022,5,43,21.50,25,89.58,1,0,5,0
95,Trent Boult,2022,16,40,20.00,17*,137.93,6,0,2,1
96,Jagadeesan Narayan,2022,2,40,40.00,39*,108.10,1,0,3,1
97,Daniel Sams,2022,11,38,5.43,15,105.55,3,0,1,3
98,Wanindu Hasaranga,2022,16,38,5.43,18,88.37,0,0,4,1
99,Rishi Dhawan,2022,6,37,18.50,21*,92.50,2,0,4,2
100,Daryl Mitchell,2022,2,33,16.50,17,75.00,0,0,1,0
101,Sherfane Rutherford,2022,3,33,16.50,28,66.00,0,0,1,1
102,James Neesham,2022,2,31,15.50,17,114.81,0,0,3,0
103,Mohammed Siraj,2022,15,30,15.00,14*,90.90,3,0,5,0
104,Tim Seifert,2022,2,24,12.00,21,126.31,0,0,4,0
105,Bhuvneshwar Kumar,2022,14,24,8.00,8,92.30,3,0,3,0
106,Mohsin Khan,2022,9,23,23.00,13*,143.75,2,0,2,1
107,Dwayne Bravo,2022,10,23,11.50,12,95.83,4,0,1,1
108,Sheldon Jackson,2022,5,23,5.75,8,88.46,1,0,0,1
109,Avesh Khan,2022,13,22,22.00,12,169.23,3,0,0,3
110,Rassie van der Dussen,2022,3,22,11.00,12*,91.66,1,0,2,0
111,Harpreet Brar,2022,5,22,7.33,14,88.00,0,0,1,2
112,Mitchell Santner,2022,6,22,11.00,11,81.48,2,0,3,0
113,Arshdeep Singh,2022,14,21,7.00,10*,72.41,3,0,3,0
114,B Indrajith,2022,3,21,7.00,15,70.00,0,0,2,0
115,Manan Vohra,2022,2,19,19.00,19,172.72,0,0,1,2
116,Vijay Shankar,2022,4,19,4.75,13,54.28,0,0,1,0
117,Mandeep Singh,2022,3,18,6.00,18,78.26,0,0,4,0
118,Josh Hazlewood,2022,12,18,-,7*,69.23,5,0,1,0
119,David Willey,2022,4,18,9.00,18,60.00,0,0,3,0
120,Karun Nair,2022,3,16,8.00,13,88.88,0,0,1,0
121,Simran Singh,2022,1,14,14.00,14,127.27,0,0,2,0
122,Anmolpreet Singh,2022,2,13,6.50,8,100.00,0,0,1,0
123,Murugan Ashwin,2022,8,12,4.00,6,85.71,2,0,1,1
124,Varun Chakaravarthy,2022,11,12,-,10*,66.66,4,0,2,0
125,Chris Jordan,2022,4,11,11.00,6*,137.50,1,0,0,0
126,Rajangad Bawa,2022,2,11,5.50,11,78.57,0,0,1,0
127,Shreyas Gopal,2022,1,9,-,9*,128.57,1,0,2,0
128,Marco Jansen,2022,8,9,9.00,8*,128.57,2,0,0,1
129,Obed McCoy,2022,7,8,8.00,8,160.00,0,0,0,1
130,Srikar Bharat,2022,2,8,4.00,8,114.28,0,0,2,0
131,Fabian Allen,2022,1,8,8.00,8,114.28,0,0,1,0
132,Sean Abbott,2022,1,7,7.00,7,140.00,0,0,0,1
133,Rasikh Salam,2022,2,7,7.00,7,116.66,0,0,1,0
134,Kartik Tyagi,2022,2,7,3.50,7,116.66,0,0,1,0
135,Maheesh Theekshana,2022,9,7,7.00,7*,100.00,1,0,0,1
136,Simarjeet Singh,2022,6,7,7.00,3*,87.50,2,0,0,0
137,Ripal Patel,2022,2,6,6.00,6,200.00,0,0,0,1
138,Mukesh Choudhary,2022,13,6,6.00,4,100.00,1,0,1,0
139,Prasidh Krishna,2022,17,6,6.00,4*,50.00,2,0,0,0
140,Aman Khan,2022,1,5,5.00,5,166.66,0,0,1,0
141,Lockie Ferguson,2022,13,5,2.50,5,125.00,1,0,1,0
142,Alzarri Joseph,2022,9,5,5.00,4*,71.42,2,0,0,0
143,Yuzvendra Chahal,2022,17,5,5.00,5,62.50,1,0,0,0
144,Vaibhav Arora,2022,5,5,2.50,2*,38.46,2,0,0,0
145,Prerak Mankad,2022,1,4,-,4*,400.00,1,0,1,0
146,Karan Sharma,2022,1,4,4.00,4,100.00,0,0,1,0
147,Abdul Samad,2022,2,4,2.00,4,57.14,0,0,0,0
148,Abhijeet Tomar,2022,1,4,4.00,4,50.00,0,0,1,0
149,Umran Malik,2022,14,4,4.00,3*,50.00,3,0,0,0
150,Mustafizur Rahman,2022,8,3,-,3*,60.00,1,0,0,0
151,Kumar Kartikeya Singh,2022,4,3,3.00,3,60.00,0,0,0,0
152,Shivam Mavi,2022,6,3,1.50,2,42.85,1,0,0,0
153,Harshit Rana,2022,2,2,2.00,2,100.00,1,0,0,0
154,Navdeep Saini,2022,2,2,2.00,2,100.00,0,0,0,0
155,Tristan Stubbs,2022,2,2,1.00,2,50.00,0,0,0,0
156,Pradeep Sangwan,2022,3,2,2.00,2,40.00,0,0,0,0
157,Fazalhaq Farooqi,2022,3,2,-,2*,25.00,1,0,0,0
158,Jagadeesha Suchith,2022,5,2,1.00,2,25.00,0,0,0,0
159,Tim Southee,2022,9,2,0.50,1*,16.66,1,0,0,0
160,Nathan Coulter-Nile,2022,1,1,-,1*,50.00,1,0,0,0
161,Anrich Nortje,2022,6,1,-,1*,16.66,1,0,0,0
162,Ruturaj Gaikwad,2021,16,635,45.35,101*,136.26,2,4,64,23
163,Faf du Plessis,2021,16,633,45.21,95*,138.20,2,6,60,23
164,KL Rahul,2021,13,626,62.60,98*,138.80,3,6,48,30
165,Shikhar Dhawan,2021,16,587,39.13,92,124.62,1,3,63,16
166,Glenn Maxwell,2021,15,513,42.75,78,144.10,2,6,48,21
167,Sanju Samson,2021,14,484,40.33,119,136.72,2,2,45,17
168,Prithvi Shaw,2021,15,479,31.93,82,159.13,0,4,56,18
169,Shubman Gill,2021,17,478,28.11,57,118.90,0,3,50,12
170,Mayank Agarwal,2021,12,441,40.09,99*,140.44,1,4,42,18
171,Rishabh Pant,2021,16,419,34.91,58*,128.52,4,3,42,10
172,Devdutt Padikkal,2021,14,411,31.61,101*,125.30,1,1,44,14
173,Virat Kohli,2021,15,405,28.92,72*,119.46,1,3,43,9
174,Rahul Tripathi,2021,17,397,28.35,74*,140.28,2,2,41,11
175,Nitish Rana,2021,17,383,29.46,80,121.97,3,2,34,17
176,Rohit Sharma,2021,13,381,29.30,63,127.42,0,1,33,14
177,Venkatesh Iyer,2021,10,370,41.11,67,128.47,1,4,37,14
178,Moeen Ali,2021,15,357,25.50,58,137.30,1,1,31,19
179,Suryakumar Yadav,2021,14,317,22.64,82,143.43,0,2,40,10
180,AB de Villiers,2021,15,313,31.30,76*,148.34,4,2,23,16
181,Quinton de Kock,2021,11,297,29.70,70*,116.01,1,2,29,7
182,Manish Pandey,2021,8,292,48.66,69*,123.72,2,3,21,10
183,Kane Williamson,2021,10,266,44.33,66*,113.19,4,2,29,2
184,Ambati Rayudu,2021,16,257,28.55,72*,151.17,4,2,16,17
185,Jos Buttler,2021,7,254,36.28,124,153.01,0,0,27,13
186,Yashasvi Jaiswal,2021,10,249,24.90,50,148.21,0,1,32,10
187,Jonny Bairstow,2021,7,248,41.33,63*,141.71,1,2,20,15
188,Kieron Pollard,2021,14,245,30.62,87*,148.48,5,1,16,16
189,Shimron Hetmyer,2021,14,242,34.57,53*,168.05,6,1,19,12
190,Ishan Kishan,2021,10,241,26.77,84,133.88,1,2,21,10
191,Shivam Dube,2021,9,230,28.75,64*,119.17,1,1,18,10
192,Ravindra Jadeja,2021,16,227,75.66,62*,145.51,9,1,19,9
193,Dinesh Karthik,2021,17,223,22.30,40,131.17,5,0,22,7
194,David Warner,2021,8,195,24.37,57,107.73,0,2,15,6
195,Chris Gayle,2021,10,193,21.44,46,125.32,1,0,21,8
196,K.S Bharat,2021,8,191,38.20,78*,122.43,2,1,10,8
197,Andre Russell,2021,10,183,26.14,54,152.50,2,1,14,14
198,Shreyas Iyer,2021,8,175,35.00,47*,102.33,3,0,7,5
199,Deepak Hooda,2021,12,160,16.00,64,130.08,1,1,9,9
200,Suresh Raina,2021,12,160,17.77,54,125.00,2,1,13,9
201,Rahul Tewatia,2021,14,155,15.50,44,105.44,1,0,11,6
202,Shahrukh Khan,2021,11,153,21.85,47,134.21,3,0,9,10
203,Steve Smith,2021,8,152,25.33,39,112.59,1,0,13,2
204,Evin Lewis,2021,5,151,30.20,58,162.36,0,1,18,7
205,Jason Roy,2021,5,150,30.00,60,123.96,0,1,21,1
206,Aiden Markram,2021,6,146,29.20,42,122.68,1,0,12,4
207,Krunal Pandya,2021,13,143,14.30,39,116.26,2,0,10,6
208,Eoin Morgan,2021,17,133,11.08,47*,95.68,4,0,8,6
209,Wriddhiman Saha,2021,9,131,14.55,44,93.57,0,0,7,5
210,Hardik Pandya,2021,12,127,14.11,40*,113.39,2,0,11,5
211,David Miller,2021,9,124,24.80,62,109.73,3,1,11,3
212,Robin Uthappa,2021,4,115,28.75,63,136.90,0,1,8,5
213,Saurabh Tiwary,2021,5,115,57.50,50*,118.55,2,1,10,2
214,MS Dhoni,2021,16,114,16.28,18*,106.54,4,0,12,3
215,Abdul Samad,2021,11,111,12.33,28,127.58,1,0,4,8
216,Abhishek Sharma,2021,8,98,16.33,33,130.66,1,0,7,4
217,Mahipal Lomror,2021,4,94,31.33,43,128.76,1,0,3,6
218,Pat Cummins,2021,7,93,31.00,66*,166.07,2,1,5,8
219,Riyan Parag,2021,11,93,11.62,25,112.04,2,0,6,4
220,Marcus Stoinis,2021,10,89,22.25,27*,123.61,3,0,11,1
221,Jason Holder,2021,8,85,14.16,47*,118.05,1,0,2,6
222,Nicholas Pooran,2021,12,85,7.72,32,111.84,0,0,3,5
223,Rashid Khan,2021,14,83,10.37,22,120.28,2,0,9,2
224,Priyam Garg,2021,5,72,14.40,29,97.29,0,0,2,3
225,Rajat Patidar,2021,4,71,17.75,31,114.51,0,0,3,3
226,Lalit Yadav,2021,7,68,34.00,22*,93.15,3,0,7,0
227,Chris Morris,2021,11,67,13.40,36*,136.73,2,0,2,5
228,Kyle Jamieson,2021,9,65,16.25,16*,118.18,3,0,5,3
229,Harpreet Brar,2021,7,64,0.00,25*,110.34,5,0,3,2
230,Sunil Narine,2021,14,62,7.75,26,131.91,2,0,3,5
231,Shahbaz Ahmed,2021,11,59,8.42,14,111.32,0,0,4,2
232,Harshal Patel,2021,15,59,14.75,31,128.26,4,0,6,2
233,Vijay Shankar,2021,7,58,11.60,28,111.53,0,0,1,3
234,Sam Curran,2021,9,56,18.66,34,193.10,1,0,5,3
235,Kedar Jadhav,2021,6,55,13.75,19,105.76,1,0,2,2
236,Chris Lynn,2021,1,49,49.00,49,140.00,0,0,4,3
237,Shakib Al Hasan,2021,8,47,9.40,26,97.91,1,0,3,1
238,Dwayne Bravo,2021,11,47,47.00,23,261.11,2,0,3,4
239,Ravichandran Ashwin,2021,13,44,14.66,20*,104.76,2,0,2,1
240,Manan Vohra,2021,4,42,10.50,14,107.69,0,0,5,2
241,Liam Livingstone,2021,5,42,8.40,25,102.43,0,0,3,1
242,Jaydev Unadkat,2021,6,41,20.50,24,141.37,1,0,3,2
243,Axar Patel,2021,12,40,8.00,12,86.95,1,0,2,1
244,Mohammad Nabi,2021,3,34,11.33,17,170.00,0,0,3,2
245,Jayant Yadav,2021,5,34,17.00,23,130.76,1,0,2,1
246,Bhuvneshwar Kumar,2021,11,34,34.00,14*,113.33,6,0,3,0
247,Chris Jordan,2021,4,32,16.00,30,152.38,0,0,1,3
248,Moises Henriques,2021,5,31,15.50,14,96.87,2,0,0,1
249,Washington Sundar,2021,6,31,7.75,10,65.95,0,0,2,0
250,Dawid Malan,2021,1,26,26.00,26,100.00,0,0,1,1
251,Glenn Phillips,2021,3,26,13.00,14*,78.78,1,0,1,2
252,Ripal Patel,2021,2,25,25.00,18,92.59,1,0,3,0
253,Shivam Mavi,2021,9,25,12.50,20,125.00,0,0,2,2
254,Tom Curran,2021,3,21,21.00,21,123.52,1,0,2,0
255,Mohammed Siraj,2021,15,20,20.00,12*,76.92,3,0,1,1
256,Prabhsimran Singh,2021,2,19,9.50,12,82.60,0,0,1,1
257,Nathan Ellis,2021,3,18,18.00,12,112.50,1,0,0,1
258,Lockie Ferguson,2021,8,18,0.00,18*,163.63,3,0,1,1
259,Anmolpreet Singh,2021,1,16,16.00,16,114.28,0,0,2,1
260,Adam Milne,2021,4,16,8.00,15,94.11,1,0,0,1
261,Chetan Sakariya,2021,14,16,3.20,7,64.00,1,0,2,0
262,Jasprit Bumrah,2021,14,16,8.00,5*,94.11,5,0,2,0
263,Mandeep Singh,2021,1,15,15.00,15,107.14,0,0,2,0
264,Chris Woakes,2021,3,15,0.00,15*,136.36,1,0,2,0
265,Jhye Richardson,2021,3,15,7.50,15,62.50,0,0,2,0
266,Murugan Ashwin,2021,3,15,7.50,9,62.50,0,0,1,0
267,Virat Singh,2021,3,15,7.50,11,57.69,0,0,1,0
268,Jagadeesha Suchith,2021,2,14,0.00,14*,233.33,1,0,2,1
269,Dan Christian,2021,9,14,2.33,9,58.33,1,0,1,0
270,Rahul Chahar,2021,11,14,2.80,8,93.33,0,0,1,0
271,Mohammad Shami,2021,14,13,13.00,9*,76.47,3,0,0,0
272,Kagiso Rabada,2021,15,13,13.00,9*,216.66,2,0,2,0
273,Yuzvendra Chahal,2021,15,10,0.00,8*,37.03,2,0,0,0
274,Ajinkya Rahane,2021,2,8,8.00,8,100.00,0,0,1,0
275,Sandeep Sharma,2021,7,8,8.00,8*,114.28,1,0,1,0
276,Siddarth Kaul,2021,8,8,0.00,7*,100.00,2,0,1,0
277,Mustafizur Rahman,2021,14,8,0.00,8*,57.14,5,0,0,1
278,Sachin Baby,2021,1,7,7.00,7,41.17,0,0,0,0
279,Shreyas Gopal,2021,3,7,7.00,7*,140.00,1,0,0,1
280,Daniel Sams,2021,2,6,6.00,3*,100.00,1,0,0,0
281,Fabian Allen,2021,4,6,6.00,6,50.00,2,0,0,0
282,Avesh Khan,2021,16,5,0.00,5*,166.66,1,0,1,0
283,Shardul Thakur,2021,16,5,2.50,3*,100.00,2,0,0,0
284,Harbhajan Singh,2021,3,4,0.00,2*,100.00,2,0,0,0
285,Nathan Coulter-Nile,2021,5,4,2.00,3,80.00,0,0,0,0
286,Tim Southee,2021,3,3,3.00,3,60.00,0,0,0,0
287,Tabraiz Shamsi,2021,1,2,0.00,2*,50.00,1,0,0,0
288,Tim Seifert,2021,1,2,2.00,2,50.00,0,0,0,0
289,Navdeep Saini,2021,2,2,2.00,2,50.00,0,0,0,0
290,Kartik Tyagi,2021,4,2,2.00,1*,50.00,1,0,0,0
291,George Garton,2021,5,2,2.00,2*,50.00,2,0,0,0
292,Arshdeep Singh,2021,12,2,0.00,1*,66.66,2,0,0,0
293,Varun Chakaravarthy,2021,17,2,2.00,2*,50.00,2,0,0,0
294,Mujeeb Ur Rahman,2021,1,1,0.00,1*,100.00,1,0,0,0
295,Tim David,2021,1,1,1.00,1,33.33,0,0,0,0
296,Wanindu Hasaranga,2021,2,1,1.00,1*,50.00,1,0,0,0
297,Khaleel Ahmed,2021,7,1,1.00,1,50.00,0,0,0,0
298,Ravi Bishnoi,2021,9,1,1.00,1,25.00,0,0,0,0
299,Trent Boult,2021,14,1,0.00,1*,25.00,4,0,0,0
300,Deepak Chahar,2021,15,1,0.00,1*,100.00,2,0,0,0
301,Ben Stokes,2021,1,0,0.00,0*,0.00,0,0,0,0
302,Kamlesh Nagarkoti,2021,1,0,0.00,0*,0.00,0,0,0,0
303,Kuldip Yadav,2021,1,0,0.00,0*,0.00,1,0,0,0
304,Piyush Chawla,2021,1,0,0.00,0*,0.00,0,0,0,0
305,Shahbaz Nadeem,2021,1,0,0.00,0*,0.00,0,0,0,0
306,Anuj Rawat,2021,2,0,0.00,0*,0.00,0,0,0,0
307,Marco Jansen,2021,2,0,0.00,0*,0.00,0,0,0,0
308,Sarfaraz Khan,2021,2,0,0.00,0*,0.00,0,0,0,0
309,Jimmy Neesham,2021,3,0,0.00,0*,0.00,0,0,0,0
310,Prasidh Krishna,2021,10,0,0.00,0*,0.00,1,0,0,0
311,KL Rahul,2020,14,670,55.83,132*,129.34,2,5,58,23
312,Shikhar Dhawan,2020,17,618,44.14,106*,144.73,3,4,67,12
313,David Warner,2020,16,548,39.14,85*,134.64,2,4,52,14
314,Shreyas Iyer,2020,17,519,34.60,88*,123.27,2,3,40,16
315,Ishan Kishan,2020,14,516,57.33,99,145.76,4,4,36,30
316,Quinton de Kock,2020,16,503,35.92,78*,140.50,2,4,46,22
317,Suryakumar Yadav,2020,16,480,40.00,79*,145.01,3,4,61,11
318,Devdutt Padikkal,2020,15,473,31.53,74,124.80,0,5,51,8
319,Virat Kohli,2020,15,466,42.36,90*,121.35,4,3,23,11
320,AB de Villiers,2020,15,454,45.40,73*,158.74,4,5,33,23
321,Faf du Plessis,2020,13,449,40.81,87*,140.75,2,4,42,14
322,Shubman Gill,2020,14,440,33.84,70*,117.96,1,3,44,9
323,Manish Pandey,2020,16,425,32.69,83*,127.62,2,3,35,18
324,Mayank Agarwal,2020,11,424,38.54,106,156.45,0,2,44,15
325,Eoin Morgan,2020,14,418,41.80,68*,138.41,4,1,32,24
326,Sanju Samson,2020,14,375,28.84,85,158.89,1,3,21,26
327,Ambati Rayudu,2020,12,359,39.88,71,127.30,2,1,30,12
328,Nicholas Pooran,2020,14,353,35.30,77,169.71,4,2,23,25
329,Nitish Rana,2020,14,352,25.14,87,138.58,0,3,43,12
330,Marcus Stoinis,2020,17,352,25.14,65,148.52,3,3,31,16
331,Jonny Bairstow,2020,11,345,31.36,97,126.83,0,3,31,13
332,Rishabh Pant,2020,14,343,31.18,56,113.95,3,1,31,9
333,Rohit Sharma,2020,12,332,27.66,80,127.69,0,3,27,19
334,Jos Buttler,2020,13,328,32.80,70*,144.49,2,2,27,16
335,Kane Williamson,2020,12,317,45.28,67,133.75,4,3,26,10
336,Steve Smith,2020,14,311,25.91,69,131.22,2,3,32,9
337,Shane Watson,2020,11,299,29.90,83*,121.05,1,2,33,13
338,Chris Gayle,2020,7,288,41.14,99,137.14,0,3,15,23
339,Ben Stokes,2020,8,285,40.71,107*,142.50,1,1,36,7
340,Hardik Pandya,2020,14,281,35.12,60*,178.98,5,1,14,25
341,Aaron Finch,2020,12,268,22.33,52,111.20,0,1,28,8
342,Kieron Pollard,2020,16,268,53.60,60*,191.42,7,1,15,22
343,Rahul Tewatia,2020,14,255,42.50,53,139.34,5,1,13,17
344,Ravindra Jadeja,2020,14,232,46.40,50,171.85,6,1,22,11
345,Rahul Tripathi,2020,11,230,23.00,81,127.07,1,1,21,10
346,Prithvi Shaw,2020,13,228,17.53,66,136.52,0,2,27,8
347,Wriddhiman Saha,2020,4,214,71.33,87,139.86,1,2,24,5
348,Ruturaj Gaikwad,2020,6,204,51.00,72,120.71,2,3,16,6
349,MS Dhoni,2020,14,200,25.00,47*,116.27,4,0,16,7
350,Robin Uthappa,2020,12,196,16.33,41,119.51,0,0,19,7
351,Sam Curran,2020,14,186,23.25,52,131.91,3,1,12,12
352,Shimron Hetmyer,2020,12,185,23.12,45,148.00,3,0,11,12
353,Dinesh Karthik,2020,14,169,14.08,58,126.11,2,1,20,4
354,Pat Cummins,2020,14,146,20.85,53*,128.07,4,1,9,8
355,Priyam Garg,2020,14,133,14.77,51*,119.81,1,1,9,4
356,Mandeep Singh,2020,7,130,21.66,66*,119.26,1,1,10,4
357,Shivam Dube,2020,11,129,18.42,27*,122.85,2,0,5,9
358,Sunil Narine,2020,10,121,13.44,64,142.35,0,1,10,8
359,Andre Russell,2020,10,117,13.00,25,144.44,0,0,9,9
360,Axar Patel,2020,15,117,14.62,42,137.64,1,0,6,8
361,Ajinkya Rahane,2020,9,113,14.12,60,105.60,0,1,12,2
362,Jofra Archer,2020,14,113,18.83,27*,179.36,4,0,5,10
363,Abdul Samad,2020,12,111,22.20,33,170.76,3,0,8,6
364,Washington Sundar,2020,15,111,18.50,30,116.84,3,0,10,2
365,Krunal Pandya,2020,16,109,18.16,34,118.47,6,0,9,5
366,Glenn Maxwell,2020,13,108,15.42,32,101.88,4,0,9,0
367,Saurabh Tiwary,2020,7,103,20.60,42,128.75,0,0,8,3
368,Deepak Hooda,2020,7,101,101.00,62*,142.25,4,1,5,5
369,Vijay Shankar,2020,7,97,24.25,52*,101.04,1,1,10,1
370,Riyan Parag,2020,12,86,12.28,42*,111.68,1,0,6,3
371,Tom Curran,2020,5,83,83.00,54*,133.87,3,1,5,3
372,Josh Philippe,2020,5,78,19.50,33,101.29,1,0,9,1
373,Abhishek Sharma,2020,8,71,14.20,31,126.78,2,0,6,3
374,Gurkeerat Mann Singh,2020,8,71,0.00,21*,88.75,5,0,8,0
375,Jason Holder,2020,7,66,33.00,26*,124.52,2,0,5,3
376,Kedar Jadhav,2020,8,62,20.66,26,93.93,2,0,7,0
377,Mahipal Lomror,2020,3,59,19.66,47,109.25,0,0,2,3
378,Kagiso Rabada,2020,17,56,14.00,15*,114.28,4,0,4,2
379,Lockie Ferguson,2020,5,43,0.00,24*,148.27,2,0,4,1
